Movie	Score
Avatar	83
Titanic	88
Star Wars Ep. VII: The Force Awakens	93
Jurassic World	71
The Avengers	92
Furious 7	80
Avengers: Age of Ultron	75
Harry Potter and the Deathly Hallows: Part II	96
Frozen	90
Iron Man 3	80
Minions	56
Captain America: Civil War 	91
The Lord of the Rings: The Return of the King 	93
Transformers: Dark of the Moon	35
Skyfall	92
Transformers: Age of Extinction	18
The Dark Knight Rises	87
Toy Story 3	99
Pirates of the Caribbean: Dead Man's Chest	54
Pirates of the Caribbean: On Stranger Tides	32
Jurassic Park	92
Star Wars Ep. I: The Phantom Menace 55
Alice in Wonderland	52
Zootopia	98
The Hobbit: An Unexpected Journey	64
The Dark Knight	94
The Lion King	93
Finding Dory	94
Despicable Me 2	74
Harry Potter and the Sorcererâ€™s Stone	80
The Jungle Book	95
Pirates of the Caribbean: At World's End	45
The Hobbit: The Desolation of Smaug	73
Harry Potter and the Deathly Hallows: Part I	78
The Hobbit: The Battle of the Five Armies	59
Harry Potter and the Order of the Phoenix	78
Shrek 2	88
Finding Nemo	99
Harry Potter and the Half-Blood Prince	84
The Lord of the Rings: The Two Towers	95
Harry Potter and the Goblet of Fire	88
Spider-Man 3	63
The Lord of the Rings: The Fellowship of the Ring	91
Ice Age: Continental Drift	38
Spectre	63
Harry Potter and the Chamber of Secrets	82
Batman v Superman: Dawn of Justice	27
The Hunger Games: Catching Fire	89
Ice Age: Dawn of the Dinosaurs	46
Inside Out	98